,LONGNAME,name,STATION_ID,LINES,zone,lat,lon,jaro_score
182,Morton Grove,Morton Grove,15143.0,Milw-N,Zone 2,42.034976,-87.785024,1.0
166,Mount Prospect,Mount Prospect,13200.0,UP-NW,Zone 3,42.062976,-87.936196,1.0
202,Mundelein,Mundelein,16369.0,NCS,Zone 4,42.266886,-87.99784,1.0
18,Museum Campus/11th St,Museum Campus / 11th St.,5014.0,"Electric, S. Shore",Zone 1,41.868458,-87.621541,0.9265873015873015
110,Naperville,Naperville,10285.0,BNSF,Zone 4,41.779769,-88.14556,1.0
152,National Street,National Street,12360.0,Milw-W,Zone 4,42.026435,-88.278637,1.0
62,New Lenox,New Lenox,6340.0,Rock Is.,Zone 4,41.514536,-87.965225,1.0
227,North Chicago,North Chicago,17332.0,UP-N,Zone 4,42.328786,-87.837131,1.0
185,North Glenview,North Glenview,15188.0,Milw-N,Zone 3,42.097575,-87.815743,1.0
186,Northbrook,Northbrook,15211.0,Milw-N,Zone 3,42.126865,-87.827772,1.0
160,Norwood Park,Norwood Park,13114.0,UP-NW,Zone 2,41.991631,-87.798982,1.0
196,O'Hare Transfer,O'Hare Transfer,16171.0,NCS,Zone 2,41.995666,-87.880617,1.0
57,Oak Forest,Oak Forest,6204.0,Rock Is.,Zone 3,41.604375,-87.738616,1.0
114,Oak Park (Marion Street),Oak Park (Marion Street),11085.0,UP-W,Zone 2,41.887048,-87.801528,1.0
155,Ogilvie Transportation Center,Ogilvie Transportation Center,13000.0,"UP-N, UP-NW, UP-W",Zone 1,41.882835,-87.64065,1.0
45,Olympia Fields,Olympia Fields,5266.0,Electric,Zone 3,41.521168,-87.690235,1.0
169,Palatine,Palatine,13268.0,UP-NW,Zone 4,42.112841,-88.04817,1.0
134,Palos Heights,Palos Heights,0.0,SWS,Zone 3,41.681975,-87.807174,1.0
80,Palos Park,Palos Park,8203.0,SWS,Zone 4,41.668346,-87.821026,1.0
162,Park Ridge,Park Ridge,13135.0,UP-NW,Zone 2,42.010131,-87.831703,1.0
133,Pingree Rd.,Pingree Road,0.0,UP-NW,Zone 4,42.234141,-88.298058,0.914141414141414
203,Prairie Crossing (Libertyville),Prairie Crossing (Libertyville),16407.0,NCS,Zone 4,42.317943,-88.017335,1.0
240,Prairie Crossing/Libertyville,Prairie Crossing,0.0,Milw-N,Zone 4,42.320884,-88.015051,0.8505747126436782
240,Prairie Crossing/Libertyville,Prairie Crossing (Libertyville),0.0,Milw-N,Zone 4,42.317943,-88.017335,0.9562476826103078
73,Prairie Street,Prairie Street,7158.0,Rock Is.,Zone 2,41.662408,-87.675052,1.0
200,Prairie View,Prairie View,16316.0,NCS,Zone 4,42.198091,-87.955675,1.0
197,Prospect Heights,Prospect Heights,16240.0,NCS,Zone 3,42.09233,-87.907889,1.0
12,Racine Avenue,Racine Avenue,4170.0,Electric,Zone 2,41.6741,-87.651968,1.0
207,Ravenswood,Ravenswood,17065.0,UP-N,Zone 2,41.968251,-87.674415,1.0
220,Ravinia,Ravinia,17215.0,UP-N,Zone 3,42.165038,-87.782961,1.0
219,Ravinia Park,Ravinia Park,17212.0,UP-N,Zone 3,42.157618,-87.7767,1.0
48,Richton Park,Richton Park,5293.0,Electric,Zone 3,41.48583,-87.709156,1.0
115,River Forest,River Forest,11097.0,UP-W,Zone 2,41.886859,-87.824621,1.0
141,River Grove,River Grove,12114.0,"Milw-W, NCS",Zone 2,41.931022,-87.836432,1.0
