STATION_ID,LONGNAME,name,,LINES,zone,lat,lon,jaro_score
17322,Great Lakes,Great Lakes,,UP-N,Zone 4,42.306985,-87.846626,1
6098,Gresham,Gresham,,Rock Is.,Zone 2,41.736988,-87.644524,1
10018,Halsted Street,Halsted Street,,BNSF,Zone 2,41.86034,-87.647279,1
12284,Hanover Park,Hanover Park,,Milw-W,Zone 4,41.988133,-88.149229,1
12077,Hanson Park,Hanson Park,,Milw-W,Zone 2,41.916723,-87.76688,1
10101,Harlem Avenue,Harlem Avenue,,BNSF,Zone 2,41.831422,-87.801949,1
13631,Harvard,Harvard,,UP-NW,Zone 4,42.41964,-88.617395,1
5200,Harvey,Harvey,,Electric,Zone 2,41.608434,-87.64369,1
5223,Hazel Crest,Hazel Crest,,Electric,Zone 2,41.580828,-87.658429,1
15064,Healy,Healy,,Milw-N,Zone 2,41.924744,-87.727865,1
6275,Hickory Creek,Hickory Creek,,Rock Is.,Zone 4,41.54879,-87.845705,1
17230,Highland Park,Highland Park,,UP-N,Zone 4,42.183271,-87.797592,1
10164,Highlands,Highlands,,BNSF,Zone 3,41.805228,-87.918325,1
17245,Highwood,Highwood,,UP-N,Zone 4,42.20336,-87.810709,1
10169,Hinsdale,Hinsdale,,BNSF,Zone 3,41.802981,-87.928273,1
5235,Homewood,Homewood,,Electric,Zone 3,41.562689,-87.668146,1
17177,Hubbard Woods,Hubbard Woods,,UP-N,Zone 3,42.118368,-87.743676,1
17158,Indian Hill,Indian Hill,,UP-N,Zone 3,42.094503,-87.723658,1
15478,Ingleside,Ingleside,,Milw-N,Zone 4,42.383803,-88.153548,1
13070,Irving Park,Irving Park,,UP-NW,Zone 2,41.953235,-87.731179,1
12210,Itasca,Itasca,,Milw-W,Zone 3,41.971624,-88.014061,1
5182,Ivanhoe,Ivanhoe,,Electric,Zone 2,41.633671,-87.63014,1
13091,Jefferson Park,Jefferson Park,,UP-NW,Zone 2,41.970762,-87.762123,1
0,Joliet,Joliet,,"Rock Is., Heritage",Zone 4,41.524245,-88.079177,1
11036,Kedzie,Kedzie,,UP-W,Zone 2,41.888286,-87.707053,1
17152,Kenilworth,Kenilworth,,UP-N,Zone 3,42.086303,-87.716901,1
17516,Kenosha,Kenosha,,UP-N,Zone 4,42.585806,-87.826019,1
5145,Kensington (115th Street),Kensington (115th Street),,"Electric, S. Shore",Zone 2,41.685719,-87.612147,1
0,La Fox,La Fox,,UP-W,Zone 4,41.886717,-88.411811,1
10138,LaGrange Road,LaGrange Road,,BNSF,Zone 3,41.815899,-87.870973,1
6000,LaSalle Street,LaSalle Street,,Rock Is.,Zone 1,41.876237,-87.632204,1
10091,LaVergne,LaVergne,,BNSF,Zone 2,41.835447,-87.784006,1
17302,Lake Bluff,Lake Bluff,,UP-N,Zone 4,42.279835,-87.846743,1
15230,Lake Cook Road,Lake Cook Road,,Milw-N,Zone 3,42.15186,-87.841054,1
17283,Lake Forest,Lake Forest,,UP-N,Zone 4,42.252444,-87.839787,1
15280,Lake Forest,Lake Forest (West),,Milw-N,Zone 4,42.22367,-87.874586,0.8703703703703703
16482,Lake Villa,Lake Villa,,NCS,Zone 4,42.417549,-88.079273,1
9253,Lemont,Lemont,,Heritage,Zone 3,41.673793,-88.002569,1
15355,Libertyville,Libertyville,,Milw-N,Zone 4,42.291047,-87.956216,1
10245,Lisle,Lisle,,BNSF,Zone 4,41.797948,-88.071918,1
9329,Lockport,Lockport,,Heritage,Zone 4,41.584787,-88.060461,1
11199,Lombard,Lombard,,UP-W,Zone 3,41.886365,-88.019034,1
